,ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
1084,1716,1938,11.0,5.0,8.0,43.0,37,141.7,7.7,30.0,-0.5
1085,1715,1938,6.0,10.0,9.0,53.0,25,125.115,7.6,35.0,0.0
1086,1708,1938,5.0,12.0,15.0,38.0,-6,147.8,7.5,,
1087,1704,1938,2.0,1.0,19.0,4.0,-5,130.5,8.5,,1.5
1088,1699,1937,8.0,20.0,11.0,59.0,14,121.5,7.5,60.0,1.0
1089,1696,1936,11.0,13.0,12.0,31.0,55,164.0,7.3,,2.0
1090,1692,1936,8.0,23.0,21.0,12.0,6,94.7,7.3,,
1091,1690,1936,4.0,1.0,2.0,9.0,4,126.5,7.7,60.0,2.0
1092,1689,1935,12.0,28.0,2.0,35.0,0,98.25,7.9,33.0,
1093,1683,1935,9.0,20.0,1.0,46.0,-3,141.416,7.8,30.0,
1094,1679,1935,5.0,30.0,21.0,32.0,29,66.8,7.5,,
1095,1673,1934,7.0,18.0,19.0,40.0,-11,166.731,7.8,35.0,
1096,1671,1934,7.0,18.0,1.0,36.0,8,-82.5,7.7,60.0,1.5
1097,1669,1934,2.0,14.0,3.0,59.0,17,119.0,7.9,55.0,0.5
1098,1668,1934,1.0,15.0,8.0,43.0,26,86.76,8.0,35.0,
1099,1663,1933,4.0,23.0,5.0,57.0,36,27.299,6.4,15.0,
1100,1662,1933,3.0,11.0,1.0,54.0,33,-117.966,6.3,16.0,-3.0
1101,1659,1933,2.0,23.0,8.0,9.0,-20,-71.0,7.6,40.0,
1102,1655,1932,9.0,26.0,19.0,20.0,40,23.9,6.9,35.0,3.0
1103,1651,1932,6.0,18.0,10.0,12.0,19,-103.631,7.8,15.0,0.5
1104,1648,1932,2.0,3.0,6.0,16.0,20,-75.8,6.7,,
1105,1646,1931,11.0,2.0,10.0,2.0,32,132.1,7.1,40.0,
1106,1639,1931,3.0,9.0,3.0,49.0,41,142.5,7.6,60.0,-1.0
1107,1636,1931,2.0,2.0,22.0,46.0,-39,176.025,7.7,35.0,0.0
1108,1618,1929,6.0,16.0,22.0,47.0,-41,172.25,7.5,,1.5
1109,1617,1929,6.0,13.0,9.0,24.0,8,127.0,7.2,,0.5
1110,1613,1929,3.0,7.0,1.0,34.0,50,-169.71,7.8,50.0,
1111,1612,1929,1.0,17.0,11.0,52.0,10,-65.6,6.9,,
1112,1609,1928,12.0,1.0,4.0,6.0,-35,-72.0,7.6,25.0,0.5
1113,1605,1928,6.0,17.0,3.0,19.0,16,-97.036,7.7,35.0,1.0
1114,1603,1928,6.0,15.0,6.0,12.0,12,120.9,7.0,33.0,0.5
1115,1597,1928,4.0,22.0,20.0,13.0,38,23.0,6.0,29.0,3.0
1116,1594,1928,3.0,31.0,0.0,29.0,38,27.4,6.5,,2.0
1117,1592,1928,3.0,22.0,4.0,17.0,15,-96.1,7.7,60.0,
1118,1585,1927,11.0,4.0,13.0,50.0,34,-120.774,7.3,10.0,1.0
1119,1576,1927,3.0,7.0,9.0,27.0,35,135.1,7.6,10.0,0.5
1120,1567,1926,6.0,28.0,3.0,23.0,0,100.6,5.8,,
1121,1556,1925,5.0,25.0,3.0,43.0,12,122.1,6.3,,0.5
1122,1546,1924,8.0,30.0,3.0,4.0,8,126.5,7.3,33.0,0.5
1123,1543,1924,6.0,26.0,1.0,37.0,-56,157.5,7.8,,
1124,1527,1923,9.0,2.0,2.0,46.0,34,140.2,7.7,20.0,-1.5
1125,1508,1923,2.0,3.0,16.0,1.0,54,161.0,8.3,19.0,
1126,1939,1963,2.0,7.0,19.0,28.0,38,22.02,,,5.0
1127,1666,1933,12.0,25.0,,,12,124.05,,,1.0
1128,1698,1937,5.0,29.0,,,-4,152.203,,,1.5
1129,1840,1953,9.0,14.0,0.0,26.0,-18,178.2,6.4,33.0,1.0
1130,1627,1930,8.0,31.0,0.0,40.0,34,-118.643,5.2,15.0,-0.5
1131,1972,1965,7.0,6.0,3.0,18.0,38,22.3,6.3,18.0,2.0
1132,1741,1940,8.0,1.0,15.0,8.0,44,139.5,7.5,10.0,1.5
1133,1714,1938,5.0,28.0,16.0,42.0,43,144.3,6.1,,
1134,1632,1930,12.0,23.0,21.0,35.0,-1,144.3,6.5,33.0,1.5
1135,1987,1967,4.0,11.0,5.0,9.0,-3,119.3,5.5,33.0,1.0
1136,1959,1964,6.0,16.0,4.0,1.0,38,139.2,7.5,40.0,2.0
1137,1880,1958,7.0,10.0,6.0,15.0,58,-136.665,7.8,35.0,5.0
1138,1877,1958,1.0,19.0,14.0,7.0,1,-79.5,7.6,60.0,2.0
1139,1867,1957,3.0,9.0,14.0,22.0,51,-175.62900000000002,8.6,33.0,3.0
1140,1859,1956,7.0,9.0,3.0,11.0,36,26.0,7.8,20.0,5.0
1141,1849,1955,4.0,19.0,20.0,24.0,-30,-72.0,7.1,30.0,1.0
1142,1817,1952,3.0,4.0,1.0,22.0,42,143.85,8.1,45.0,2.0
1143,1809,1950,10.0,8.0,3.0,23.0,-3,128.3,7.6,,2.0
1144,1802,1949,12.0,29.0,3.0,3.0,17,121.63,7.2,33.0,1.5
1145,1777,1948,1.0,24.0,17.0,46.0,10,122.0,8.3,33.0,1.5
1146,1747,1941,11.0,18.0,16.0,46.0,32,132.1,7.4,10.0,0.0
1147,1733,1939,4.0,30.0,2.0,55.0,-9,159.234,7.9,35.0,1.5
1148,1710,1938,5.0,19.0,17.0,8.0,-1,120.0,7.6,,
1149,1649,1932,6.0,3.0,10.0,36.0,19,-103.919,8.1,35.0,2.0
1150,1645,1931,10.0,3.0,19.0,13.0,-10,161.016,7.8,35.0,2.5
1151,1622,1929,11.0,18.0,20.0,32.0,44,-56.0,7.3,20.0,
1152,1611,1928,12.0,19.0,11.0,37.0,7,124.0,7.3,,1.0
1153,1596,1928,4.0,9.0,17.0,34.0,-13,-69.6,6.9,30.0,1.0
1154,1587,1927,12.0,1.0,4.0,37.0,0,119.7,6.3,,3.0
1155,1575,1927,1.0,1.0,8.0,17.0,32,-115.5,5.7,,1.0
1156,1517,1923,4.0,13.0,15.0,31.0,56,162.5,7.2,20.0,3.5
1157,1559,1925,11.0,13.0,12.0,14.0,13,125.0,7.3,22.0,0.5
1158,2000,1968,5.0,16.0,0.0,48.0,40,143.2,8.2,7.0,2.0
1159,1963,1965,1.0,24.0,0.0,11.0,-2,126.1,7.6,6.0,2.0
1160,1907,1960,11.0,20.0,22.0,1.0,-6,-80.7,6.8,93.0,4.0
1161,1766,1946,8.0,8.0,13.0,28.0,19,-69.5,7.5,15.0,
1162,1652,1932,6.0,22.0,12.0,59.0,19,-104.383,7.7,25.0,1.5
1163,1505,1922,11.0,11.0,4.0,32.0,-28,-70.755,8.7,35.0,2.5
1164,1977,1965,9.0,28.0,,,14,120.993,,,
1165,1568,1926,7.0,,,,35,128.0,,,1.5
1166,1607,1928,8.0,4.0,,,-8,121.708,,1.0,3.0
1167,1562,1925,12.0,22.0,,,10,138.0,,,1.5
1168,1954,1964,3.0,28.0,3.0,36.0,61,-147.648,9.2,33.0,3.5
1169,1762,1946,4.0,1.0,12.0,29.0,53,-162.832,8.6,15.0,4.0
1170,1526,1923,9.0,1.0,2.0,58.0,35,139.5,7.9,33.0,3.0
1171,1661,1933,3.0,2.0,17.0,31.0,39,144.622,8.4,35.0,3.5
1172,1756,1944,12.0,7.0,4.0,35.0,34,137.1,8.1,30.0,2.5
1173,1761,1945,11.0,27.0,21.0,56.0,24,63.0,8.0,,
1174,1765,1946,8.0,4.0,17.0,51.0,19,-69.0,7.9,15.0,
1175,1770,1946,12.0,20.0,19.0,19.0,33,135.6,8.1,20.0,2.5
1176,1829,1952,11.0,4.0,16.0,58.0,52,160.05700000000002,9.0,22.0,4.0
1177,1902,1960,5.0,22.0,19.0,11.0,-38,-73.407,9.5,33.0,4.0
1178,2314,358,8.0,24.0,,,40,29.9,,,
1179,2451,1884,9.0,19.0,,,42,-82.95,,,
1180,2447,1821,9.0,3.0,,,38,-75.208,,,
1181,2459,1944,9.0,14.0,,,38,-74.9,,,
1182,2203,1991,5.0,7.0,,,37,26.833,,,
1183,2195,1990,5.0,,,,7,126.0,,,
1184,2258,1996,1.0,1.0,,,38,22.083,,,2.0
1185,2368,1964,5.0,19.0,0.0,0.0,40,-73.1,,0.0,
1186,2069,1974,10.0,17.0,,,-5,148.121,,70.0,
1187,2454,1913,6.0,9.0,,,39,-74.525,,,
1188,2279,1997,12.0,26.0,8.0,,16,-62.18,,,
1189,2043,1971,9.0,6.0,20.0,,-10,165.8,,,
1190,2441,1755,10.0,4.0,,,43,-78.0,,,
1191,2052,1972,8.0,26.0,8.0,15.0,-6,147.0,,,
1192,2392,1996,1.0,2.0,15.0,40.0,54,159.43,,,
1193,2382,1931,12.0,1.0,,,22,-80.4,,0.0,
1194,2464,1926,1.0,9.0,,,44,-68.35,,,
1195,2458,1944,,,,,40,-74.0,,,
1196,2353,2000,11.0,4.0,19.0,30.0,34,-120.65,,0.0,
1197,2229,1994,9.0,19.0,,,-4,152.214,,,
1198,2460,1952,5.0,6.0,,,43,-82.4,,,
1199,2361,1912,4.0,13.0,,,42,-81.0,,,
1200,2433,1902,5.0,20.0,,,14,-61.17,,,
1201,2463,1938,9.0,21.0,,,39,-74.12,,,
1202,2278,1997,12.0,14.0,3.0,30.0,54,162.035,,,2.0
1203,2457,1924,8.0,8.0,,,40,-73.983,,,
1204,2129,1981,5.0,11.0,7.0,10.0,-35,20.267,,,
1205,2450,1879,,,,,41,-70.08,,,
1206,2054,1972,10.0,9.0,,,-5,148.121,,,
1207,2390,1979,9.0,3.0,2.0,12.0,11,-69.5,5.0,0.0,
1208,2379,1906,,,,,10,-66.95,,,
1209,2286,557,,,,,40,27.6,7.0,,3.0
1210,2198,1990,12.0,13.0,19.0,50.0,23,121.627,6.3,10.0,
1211,2041,1971,9.0,27.0,19.0,1.0,46,141.1,6.0,21.0,-4.0
1212,2443,1811,12.0,16.0,14.0,15.0,35,-90.4,8.0,,
1213,2385,1961,6.0,16.0,10.0,31.0,8,-73.4,6.5,120.0,
1214,2395,2002,3.0,26.0,3.0,45.0,23,124.09,6.4,33.0,
1215,2275,1997,10.0,14.0,9.0,53.0,-22,-176.77,7.7,167.0,
1216,2173,1987,7.0,6.0,2.0,49.0,-14,167.828,6.7,48.0,
1217,2172,1987,6.0,18.0,14.0,3.0,-10,162.33,6.3,75.0,
1218,2152,1984,2.0,11.0,8.0,2.0,38,22.094,5.4,29.0,3.0
1219,2089,1977,4.0,20.0,23.0,13.0,-9,163.32299999999998,6.8,33.0,-1.0
1220,2154,1984,6.0,13.0,2.0,29.0,31,140.036,5.5,41.0,
1221,2452,1895,9.0,1.0,11.0,9.0,40,-74.883,4.3,,
1222,2448,1823,5.0,30.0,,,42,-79.0,,,
1223,2446,1817,1.0,8.0,,,39,-75.1,,,
1224,2167,1987,2.0,6.0,13.0,16.0,36,141.689,6.7,48.0,
1225,2369,1989,11.0,1.0,10.0,25.0,18,-68.833,4.4,26.0,
1226,2404,2001,12.0,18.0,4.0,2.0,23,122.734,6.8,14.0,
1227,2434,2004,1.0,28.0,22.0,15.0,-3,127.4,6.7,17.0,
1228,2428,2003,10.0,31.0,1.0,6.0,37,142.619,7.0,10.0,
1229,2268,1996,10.0,19.0,14.0,44.0,31,131.468,6.7,22.0,0.5
1230,2255,1995,11.0,1.0,0.0,35.0,-28,-71.417,6.7,20.0,-3.0
1231,2232,1994,10.0,9.0,7.0,55.0,43,147.916,7.3,33.0,-3.0
1232,2226,1994,4.0,8.0,1.0,10.0,40,143.683,6.4,13.0,-1.5
1233,2196,1990,9.0,23.0,21.0,13.0,33,138.643,6.5,10.0,
1234,2136,1982,7.0,23.0,14.0,23.0,36,141.702,7.2,37.0,-1.0
1235,2110,1979,2.0,20.0,6.0,32.0,40,143.703,6.4,10.0,
1236,2097,1978,3.0,22.0,0.0,50.0,44,149.002,6.7,33.0,-2.5
1237,2064,1974,2.0,1.0,3.0,12.0,-7,155.6,7.1,40.0,2.0
1238,2014,1969,8.0,2.0,4.0,30.0,-6,146.9,5.4,17.0,-1.0
1239,2303,1970,12.0,4.0,1.0,59.0,43,39.34,5.1,7.0,2.0
1240,2147,1983,8.0,17.0,10.0,55.0,55,161.287,7.1,63.0,
1241,2039,1971,9.0,8.0,16.0,59.0,46,140.9,6.2,16.0,-3.0
1242,2453,1895,10.0,31.0,11.0,8.0,37,-89.4,6.7,,
1243,2380,1916,11.0,12.0,,,10,-67.77,,0.0,
1244,2378,1873,10.0,13.0,,,8,-79.53,,0.0,
1245,2377,1856,8.0,4.0,,,16,-88.0,7.5,,
1246,2376,1802,8.0,15.0,,,10,-64.5,,,
1247,2365,1929,8.0,12.0,11.0,24.0,42,-78.3,,,
1248,2359,1884,8.0,10.0,19.0,7.0,40,-73.75,5.5,,
1249,2357,1871,6.0,18.0,0.0,0.0,40,-73.9,,,
1250,2355,1840,11.0,11.0,,,39,-75.2,5.2,,
1251,2343,1982,3.0,11.0,10.0,32.0,-9,118.479,6.6,33.0,
1252,2301,1939,12.0,26.0,23.0,57.0,39,39.533,7.7,35.0,4.0
1253,2298,1927,6.0,26.0,11.0,20.0,44,34.4,6.0,27.0,2.0
1254,2296,1905,10.0,4.0,22.0,29.0,44,37.5,5.1,,2.0
1255,2280,1998,5.0,3.0,23.0,30.0,22,125.308,7.5,33.0,
1256,2270,1996,12.0,2.0,22.0,17.0,31,131.314,6.7,49.0,-2.0
1257,2266,1996,9.0,5.0,8.0,14.0,-22,-113.436,6.9,10.0,-2.5
1258,2265,1996,9.0,4.0,18.0,16.0,31,139.931,5.7,33.0,-2.0
1259,2264,1996,6.0,10.0,15.0,24.0,51,-176.847,7.3,24.0,-1.5
1260,2262,1996,2.0,25.0,3.0,8.0,15,-98.07,7.1,21.0,-3.0
1261,2254,1995,10.0,19.0,2.0,41.0,28,130.148,6.8,20.0,0.5
1262,2253,1995,10.0,18.0,10.0,37.0,27,130.175,7.1,28.0,1.5
1263,2242,1995,4.0,21.0,5.0,17.0,12,125.92,6.8,23.0,-2.0
1264,2241,1995,4.0,21.0,0.0,34.0,12,125.58,7.2,21.0,-2.0
1265,2228,1994,9.0,1.0,15.0,15.0,40,-125.68,7.0,10.0,-3.0
1266,2222,1993,11.0,13.0,1.0,18.0,51,158.64700000000002,7.0,34.0,-3.0
1267,2220,1993,8.0,7.0,19.0,42.0,41,139.839,6.3,13.0,
1268,2211,1992,7.0,18.0,8.0,36.0,39,143.33,7.0,29.0,-0.5
1269,2207,1992,1.0,5.0,6.0,,18,108.0,3.7,,
1270,2206,1991,12.0,22.0,8.0,43.0,45,151.02100000000002,7.6,24.0,0.5
1271,2205,1991,10.0,14.0,15.0,58.0,-9,158.442,7.2,23.0,-2.5
1272,2201,1991,2.0,21.0,2.0,35.0,58,-175.45,6.7,20.0,
1273,2200,1991,2.0,16.0,1.0,23.0,48,154.328,5.7,39.0,
1274,2199,1991,2.0,9.0,16.0,18.0,-9,159.139,6.9,10.0,
1275,2191,1990,2.0,20.0,6.0,53.0,34,139.252,6.4,14.0,
1276,2189,1989,10.0,29.0,5.0,25.0,39,143.333,6.5,10.0,
1277,2187,1989,9.0,4.0,13.0,14.0,55,-156.835,7.1,11.0,
1278,2182,1988,6.0,24.0,2.0,6.0,18,121.013,5.4,53.0,
1279,2180,1988,2.0,5.0,14.0,1.0,-24,-70.433,7.2,37.0,
1280,2177,1987,11.0,17.0,8.0,46.0,58,-143.27,7.2,10.0,
1281,2175,1987,10.0,12.0,13.0,57.0,-7,154.371,7.0,25.0,
1282,2174,1987,10.0,6.0,4.0,19.0,-17,-172.225,7.3,16.0,
1283,2171,1987,3.0,24.0,12.0,49.0,37,137.865,5.1,23.0,
1284,2165,1986,5.0,17.0,16.0,20.0,52,-174.50400000000002,6.4,15.0,
1285,2156,1984,9.0,18.0,17.0,2.0,34,141.5,6.9,48.0,
1286,2153,1984,3.0,24.0,9.0,44.0,44,148.192,7.2,44.0,-2.0
1287,2145,1983,6.0,21.0,6.0,25.0,41,139.099,6.9,10.0,
1288,2144,1983,6.0,9.0,12.0,49.0,40,138.94799999999998,5.9,26.0,
1289,2140,1983,3.0,12.0,1.0,36.0,-4,127.924,6.9,17.0,1.5
1290,2139,1982,12.0,28.0,6.0,37.0,33,139.434,6.4,22.0,-1.0
1291,2134,1982,2.0,24.0,4.0,22.0,4,97.755,5.4,52.0,
1292,2126,1981,1.0,18.0,18.0,17.0,38,142.75,6.9,,
1293,2123,1980,2.0,23.0,5.0,51.0,43,146.753,7.0,44.0,-2.0
1294,2111,1979,2.0,28.0,21.0,27.0,60,-141.671,7.5,15.0,
1295,2108,1978,7.0,23.0,14.0,42.0,22,121.512,7.4,17.0,-1.0
1296,2106,1978,6.0,14.0,12.0,32.0,8,122.403,6.9,24.0,
1297,2095,1977,10.0,10.0,11.0,53.0,-25,-175.40599999999998,7.2,33.0,-3.0
1298,2094,1977,8.0,28.0,20.0,10.0,-1,146.23,5.5,33.0,-0.5
1299,2084,1976,1.0,21.0,10.0,5.0,44,149.123,7.0,41.0,-2.5
1300,2075,1975,6.0,10.0,13.0,47.0,43,147.734,7.0,15.0,2.0
1301,2074,1975,3.0,13.0,15.0,26.0,-29,-71.3,6.9,4.0,
1302,2067,1974,9.0,27.0,5.0,47.0,43,146.7,6.7,43.0,-1.0
1303,2066,1974,8.0,18.0,10.0,44.0,-38,-73.4,7.1,36.0,
1304,2063,1974,1.0,31.0,23.0,30.0,-7,155.9,7.0,34.0,1.0
1305,2057,1972,12.0,29.0,4.0,51.0,-30,-71.0,5.4,60.0,
1306,2051,1972,8.0,17.0,23.0,44.0,-6,152.9,7.1,10.0,
1307,2048,1972,6.0,8.0,18.0,53.0,-30,-71.8,6.6,39.0,
1308,2042,1971,11.0,6.0,22.0,0.0,51,179.1,5.7,21.0,
1309,2040,1971,9.0,25.0,4.0,36.0,-6,146.6,7.0,115.0,0.5
